OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteVolume,NumberTrades,BaseVolumne,QuoteVolumne,Ignored
2020-07-17 09:51:00,0.00190650,0.00190660,0.00190470,0.00190480,426.06000000,2020-07-17 09:51:59.999,0.81200129,34,290.73000000,0.55423395,0
2020-07-17 09:52:00,0.00190600,0.00190600,0.00190490,0.00190540,154.74000000,2020-07-17 09:52:59.999,0.29490614,17,132.71000000,0.25293003,0
2020-07-17 09:53:00,0.00190490,0.00190600,0.00190490,0.00190510,130.65000000,2020-07-17 09:53:59.999,0.24900080,19,121.91000000,0.23235125,0
2020-07-17 09:54:00,0.00190600,0.00190640,0.00190500,0.00190640,86.34000000,2020-07-17 09:54:59.999,0.16452824,34,32.49000000,0.06192553,0
2020-07-17 09:55:00,0.00190550,0.00190640,0.00190470,0.00190550,42.98000000,2020-07-17 09:55:59.999,0.08191812,22,13.61000000,0.02594409,0
2020-07-17 09:56:00,0.00190550,0.00190560,0.00190530,0.00190540,57.09000000,2020-07-17 09:56:59.999,0.10877918,14,19.17000000,0.03652644,0
2020-07-17 09:57:00,0.00190500,0.00190500,0.00190330,0.00190460,203.27000000,2020-07-17 09:57:59.999,0.38700139,27,69.01000000,0.13136931,0
2020-07-17 09:58:00,0.00190420,0.00190490,0.00190330,0.00190480,1156.23000000,2020-07-17 09:58:59.999,2.20198798,105,606.24000000,1.15465466,0
2020-07-17 09:59:00,0.00190410,0.00190490,0.00190310,0.00190470,573.13000000,2020-07-17 09:59:59.999,1.09161791,27,485.98000000,0.92573118,0
2020-07-17 10:00:00,0.00190450,0.00190480,0.00190290,0.00190380,160.14000000,2020-07-17 10:00:59.999,0.30487163,34,99.93000000,0.19025142,0
2020-07-17 10:01:00,0.00190390,0.00190450,0.00190270,0.00190430,128.45000000,2020-07-17 10:01:59.999,0.24455202,39,98.77000000,0.18805572,0
2020-07-17 10:02:00,0.00190380,0.00190470,0.00190340,0.00190460,172.80000000,2020-07-17 10:02:59.999,0.32906804,22,53.94000000,0.10273661,0
2020-07-17 10:03:00,0.00190470,0.00190610,0.00190460,0.00190540,367.83000000,2020-07-17 10:03:59.999,0.70067850,22,361.65000000,0.68890152,0
2020-07-17 10:04:00,0.00190550,0.00190660,0.00190550,0.00190660,26.37000000,2020-07-17 10:04:59.999,0.05025945,18,11.68000000,0.02226552,0
2020-07-17 10:05:00,0.00190660,0.00190760,0.00190490,0.00190540,265.20000000,2020-07-17 10:05:59.999,0.50564662,56,157.33000000,0.30003433,0
2020-07-17 10:06:00,0.00190540,0.00190570,0.00190400,0.00190470,151.36000000,2020-07-17 10:06:59.999,0.28831969,43,45.58000000,0.08685808,0
2020-07-17 10:07:00,0.00190410,0.00190550,0.00190410,0.00190430,231.33000000,2020-07-17 10:07:59.999,0.44058456,63,60.38000000,0.11502745,0
2020-07-17 10:08:00,0.00190480,0.00190640,0.00190460,0.00190520,428.91000000,2020-07-17 10:08:59.999,0.81721558,85,213.33000000,0.40659914,0
2020-07-17 10:09:00,0.00190560,0.00190610,0.00190470,0.00190530,70.43000000,2020-07-17 10:09:59.999,0.13416427,26,12.26000000,0.02336379,0
2020-07-17 10:10:00,0.00190560,0.00190680,0.00190460,0.00190680,58.39000000,2020-07-17 10:10:59.999,0.11124797,31,16.25000000,0.03097150,0
2020-07-17 10:11:00,0.00190680,0.00190760,0.00190580,0.00190710,109.34000000,2020-07-17 10:11:59.999,0.20850686,21,60.64000000,0.11566262,0
2020-07-17 10:12:00,0.00190720,0.00190730,0.00190610,0.00190610,84.86000000,2020-07-17 10:12:59.999,0.16183453,32,30.92000000,0.05896943,0
2020-07-17 10:13:00,0.00190660,0.00190850,0.00190610,0.00190820,389.82000000,2020-07-17 10:13:59.999,0.74369123,45,267.75000000,0.51092158,0
2020-07-17 10:14:00,0.00190780,0.00190850,0.00190710,0.00190830,232.79000000,2020-07-17 10:14:59.999,0.44417370,33,158.69000000,0.30284950,0
2020-07-17 10:15:00,0.00190830,0.00190900,0.00190780,0.00190860,334.50000000,2020-07-17 10:15:59.999,0.63840421,37,305.98000000,0.58398025,0
2020-07-17 10:16:00,0.00190890,0.00190900,0.00190860,0.00190860,147.36000000,2020-07-17 10:16:59.999,0.28128379,33,103.16000000,0.19692199,0
2020-07-17 10:17:00,0.00190870,0.00191060,0.00190860,0.00190940,939.48000000,2020-07-17 10:17:59.999,1.79417122,98,859.52000000,1.64152058,0
2020-07-17 10:18:00,0.00190940,0.00191020,0.00190900,0.00190930,81.84000000,2020-07-17 10:18:59.999,0.15629096,26,59.16000000,0.11298164,0
2020-07-17 10:19:00,0.00191000,0.00191060,0.00190980,0.00191050,236.17000000,2020-07-17 10:19:59.999,0.45119494,31,177.46000000,0.33903012,0
2020-07-17 10:20:00,0.00191050,0.00191060,0.00191030,0.00191060,234.40000000,2020-07-17 10:20:59.999,0.44783855,26,213.14000000,0.40722188,0
2020-07-17 10:21:00,0.00191060,0.00191090,0.00191030,0.00191080,416.01000000,2020-07-17 10:21:59.999,0.79480342,47,189.84000000,0.36273061,0
2020-07-17 10:22:00,0.00191070,0.00191100,0.00191040,0.00191040,120.29000000,2020-07-17 10:22:59.999,0.22985637,39,33.91000000,0.06479934,0
2020-07-17 10:23:00,0.00191070,0.00191100,0.00190970,0.00191100,356.21000000,2020-07-17 10:23:59.999,0.68062286,35,215.96000000,0.41268710,0
2020-07-17 10:24:00,0.00191080,0.00191180,0.00191080,0.00191180,252.33000000,2020-07-17 10:24:59.999,0.48231102,58,218.52000000,0.41770202,0
2020-07-17 10:25:00,0.00191150,0.00191180,0.00191130,0.00191130,201.45000000,2020-07-17 10:25:59.999,0.38506905,26,52.81000000,0.10095190,0
2020-07-17 10:26:00,0.00191140,0.00191200,0.00191110,0.00191110,827.02000000,2020-07-17 10:26:59.999,1.58116945,51,723.74000000,1.38376354,0
2020-07-17 10:27:00,0.00191080,0.00191080,0.00190920,0.00191010,151.50000000,2020-07-17 10:27:59.999,0.28929549,36,90.89000000,0.17354989,0
2020-07-17 10:28:00,0.00191010,0.00191090,0.00190960,0.00191090,746.46000000,2020-07-17 10:28:59.999,1.42606996,49,521.76000000,0.99680868,0
2020-07-17 10:29:00,0.00191070,0.00191140,0.00190940,0.00190970,124.75000000,2020-07-17 10:29:59.999,0.23824506,39,21.42000000,0.04091637,0
2020-07-17 10:30:00,0.00191000,0.00191020,0.00190930,0.00190970,34.78000000,2020-07-17 10:30:59.999,0.06642460,19,26.03000000,0.04971550,0
2020-07-17 10:31:00,0.00190970,0.00190980,0.00190920,0.00190930,239.85000000,2020-07-17 10:31:59.999,0.45793032,33,32.10000000,0.06129042,0
2020-07-17 10:32:00,0.00190920,0.00191030,0.00190920,0.00191030,79.69000000,2020-07-17 10:32:59.999,0.15216906,29,64.01000000,0.12223285,0
2020-07-17 10:33:00,0.00190990,0.00191070,0.00190920,0.00191060,311.28000000,2020-07-17 10:33:59.999,0.59452886,54,116.53000000,0.22262661,0
2020-07-17 10:34:00,0.00191030,0.00191070,0.00190940,0.00190940,96.14000000,2020-07-17 10:34:59.999,0.18363424,28,12.36000000,0.02361436,0
2020-07-17 10:35:00,0.00191020,0.00191040,0.00191000,0.00191020,19.21000000,2020-07-17 10:35:59.999,0.03669544,15,5.97000000,0.01140440,0
2020-07-17 10:36:00,0.00191010,0.00191140,0.00191000,0.00191000,162.62000000,2020-07-17 10:36:59.999,0.31067617,30,98.67000000,0.18852715,0
2020-07-17 10:37:00,0.00191000,0.00191050,0.00191000,0.00191000,231.50000000,2020-07-17 10:37:59.999,0.44217584,24,19.03000000,0.03635539,0
2020-07-17 10:38:00,0.00191000,0.00191010,0.00191000,0.00191010,80.47000000,2020-07-17 10:38:59.999,0.15370403,23,58.33000000,0.11141605,0
2020-07-17 10:39:00,0.00191010,0.00191040,0.00191000,0.00191000,376.71000000,2020-07-17 10:39:59.999,0.71955203,41,43.11000000,0.08234797,0
2020-07-17 10:40:00,0.00191000,0.00191120,0.00191000,0.00191010,149.48000000,2020-07-17 10:40:59.999,0.28561637,24,138.91000000,0.26542673,0
2020-07-17 10:41:00,0.00191020,0.00191030,0.00190800,0.00190800,6558.48000000,2020-07-17 10:41:59.999,12.52506055,136,58.92000000,0.11244715,0
2020-07-17 10:42:00,0.00190800,0.00190820,0.00190610,0.00190670,244.45000000,2020-07-17 10:42:59.999,0.46623244,35,14.77000000,0.02818024,0
2020-07-17 10:43:00,0.00190620,0.00190630,0.00190410,0.00190510,173.10000000,2020-07-17 10:43:59.999,0.32976415,48,23.50000000,0.04478067,0
2020-07-17 10:44:00,0.00190530,0.00190570,0.00190510,0.00190520,141.51000000,2020-07-17 10:44:59.999,0.26962491,24,21.16000000,0.04031775,0
2020-07-17 10:45:00,0.00190520,0.00190830,0.00190520,0.00190810,502.32000000,2020-07-17 10:45:59.999,0.95762059,39,462.85000000,0.88237034,0
2020-07-17 10:46:00,0.00190820,0.00190940,0.00190520,0.00190620,278.28000000,2020-07-17 10:46:59.999,0.53081913,43,25.87000000,0.04933298,0
2020-07-17 10:47:00,0.00190620,0.00191060,0.00190620,0.00190990,515.41000000,2020-07-17 10:47:59.999,0.98431242,51,315.62000000,0.60278096,0
2020-07-17 10:48:00,0.00190920,0.00191060,0.00190920,0.00191010,19.67000000,2020-07-17 10:48:59.999,0.03756801,14,3.78000000,0.00722161,0
2020-07-17 10:49:00,0.00191040,0.00191400,0.00190980,0.00191340,2257.19000000,2020-07-17 10:49:59.999,4.31768711,174,2020.07000000,3.86417632,0
2020-07-17 10:50:00,0.00191320,0.00191420,0.00191260,0.00191330,364.51000000,2020-07-17 10:50:59.999,0.69761804,55,330.57000000,0.63268169,0
2020-07-17 10:51:00,0.00191340,0.00191360,0.00191290,0.00191330,162.12000000,2020-07-17 10:51:59.999,0.31013304,26,21.04000000,0.04025700,0
2020-07-17 10:52:00,0.00191330,0.00191490,0.00191280,0.00191400,479.51000000,2020-07-17 10:52:59.999,0.91773763,55,432.06000000,0.82694454,0
2020-07-17 10:53:00,0.00191380,0.00191440,0.00191180,0.00191350,609.71000000,2020-07-17 10:53:59.999,1.16641336,50,169.22000000,0.32372632,0
2020-07-17 10:54:00,0.00191240,0.00191360,0.00191180,0.00191310,246.36000000,2020-07-17 10:54:59.999,0.47114673,34,47.21000000,0.09031870,0
2020-07-17 10:55:00,0.00191350,0.00191390,0.00191120,0.00191200,241.62000000,2020-07-17 10:55:59.999,0.46199920,25,10.86000000,0.02077724,0
2020-07-17 10:56:00,0.00191190,0.00191200,0.00190900,0.00190950,849.69000000,2020-07-17 10:56:59.999,1.62290979,51,28.60000000,0.05464234,0
2020-07-17 10:57:00,0.00190940,0.00190980,0.00190900,0.00190970,65.50000000,2020-07-17 10:57:59.999,0.12507572,22,28.59000000,0.05459772,0
2020-07-17 10:58:00,0.00190980,0.00190980,0.00190900,0.00190960,57.00000000,2020-07-17 10:58:59.999,0.10882992,24,36.02000000,0.06877235,0
2020-07-17 10:59:00,0.00190910,0.00190960,0.00190900,0.00190900,50.25000000,2020-07-17 10:59:59.999,0.09593334,13,10.18000000,0.01943831,0
2020-07-17 11:00:00,0.00190950,0.00191190,0.00190900,0.00191190,239.29000000,2020-07-17 11:00:59.999,0.45712179,51,146.95000000,0.28070305,0
